ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-005009-09-1	0000050212	2020/01/08	ものがたり日本音楽史		岩波ジュニア新書 ９０９	徳丸 吉彦／著	762.1	ﾄ		岩波書店	2019	225 11p	18cm	2020
978-4-005009-10-7	0000050213	2020/01/08	ボランティアをやりたい！ 高校生ボランティア・アワードに集まれ		岩波ジュニア新書 ９１０	さだ まさし／編 風に立つライオン基金／編	369.7	ｻ		岩波書店	2019	187p	18cm	2020
978-4-004318-12-5	0000050214	2020/01/08	大岡信『折々のうた』選 俳句２		岩波新書　新赤版 １８１２	大岡 信／著 長谷川 櫂／編	911.04	ｵ		岩波書店	2019	196p	18cm	2020
978-4-004318-17-0	0000050215	2020/01/08	リベラル・デモクラシーの現在 「ネオリベラル」と「イリベラル」のはざまで		岩波新書　新赤版 １８１７	樋口 陽一／著	311.7	ﾋ		岩波書店	2019	190p	18cm	2020
978-4-004318-18-7	0000050216	2020/01/08	レバノンから来た能楽師の妻		岩波新書　新赤版 １８１８	梅若 マドレーヌ／著 竹内 要江／訳	289.2	ｳ		岩波書店	2019	205 3p	18cm	2020
978-4-004318-19-4	0000050217	2020/01/08	水墨画入門		岩波新書　新赤版 １８１９	島尾 新／著	721.3	ｼ		岩波書店	2019	220p	18cm	2020
978-4-004318-20-0	0000050218	2020/01/08	『広辞苑』をよむ		岩波新書　新赤版 １８２０	今野 真二／著	813.1	ｺ		岩波書店	2019	253 7p	18cm	2020
978-4-002710-14-3	0000050219	2020/01/08	韓国併合１１０年後の真実 条約による併合という欺瞞		岩波ブックレット Ｎｏ．１０１４	和田 春樹／著	319.1021	ﾜ		岩波書店	2019	63p	21cm	2020
978-4-065181-77-5	0000050220	2020/01/08	免疫力を強くする 最新科学が語るワクチンと免疫のしくみ		ブルーバックス Ｂ−２１１９	宮坂 昌之／著	491.8	ﾐ		講談社	2019	286p	18cm	2020
978-4-065163-86-3	0000050221	2020/01/08	子どもにウケる科学手品 ベスト版 どこでも簡単にできる７７の感動体験		ブルーバックス Ｂ−２１２０	後藤 道夫／著	407	ｺﾞ		講談社	2019	205p	18cm	2020
978-4-065181-78-2	0000050222	2020/01/08	離散数学入門 整数の誕生から「無限」まで		ブルーバックス Ｂ−２１２１	芳沢 光雄／著	410.9	ﾖ		講談社	2019	213p	18cm	2020
978-4-004318-05-7	0000050223	2020/02/03	江南の発展 南宋まで		岩波新書　新赤版 １８０５ シリーズ中国の歴史 ２	丸橋 充拓／著	222.04	ﾏ		岩波書店	2020	192 18p	18cm	2020
978-4-004318-21-7	0000050224	2020/02/03	日本思想史		岩波新書　新赤版 １８２１	末木 文美士／著	121.02	ｽ		岩波書店	2020	251 11p	18cm	2020
978-4-004318-22-4	0000050225	2020/02/03	新実存主義		岩波新書　新赤版 １８２２	マルクス・ガブリエル／著 広瀬 覚／訳	114.5	ｶﾞ		岩波書店	2020	210 5p	18cm	2020
978-4-004318-23-1	0000050226	2020/02/03	アクティブ・ラーニングとは何か		岩波新書　新赤版 １８２３	渡部 淳／著	375.1	ﾜ		岩波書店	2020	209 3p	18cm	2020
978-4-005009-11-4	0000050227	2020/02/03	オリンピック・パラリンピックを学ぶ		岩波ジュニア新書 ９１１	後藤 光将／編著	780.69	ｺﾞ		岩波書店	2020	185p	18cm	2020
978-4-002710-15-0	0000050228	2020/01/29	実践で学ぶ〈生物多様性〉		岩波ブックレット Ｎｏ．１０１５	鷲谷 いづみ／著	519.8	ﾜ		岩波書店	2020	62p	21cm	2020
978-4-002710-16-7	0000050229	2020/01/29	気候危機		岩波ブックレット Ｎｏ．１０１６	山本 良一／著	451.85	ﾔ		岩波書店	2020	83 4p	21cm	2020
978-4-002710-17-4	0000050230	2020/01/29	韓国徴用工裁判とは何か		岩波ブックレット Ｎｏ．１０１７	竹内 康人／著	366.8	ﾀ		岩波書店	2020	85p	21cm	2020
978-4-065184-69-1	0000050231	2020/01/29	企業研究者のための人生設計ガイド 進学・留学・就職から自己啓発・転職・リストラ対策まで		ブルーバックス Ｂ−２１２２	鎌谷 朝之／著	507	ｶ		講談社	2020	218p	18cm	2020
978-4-065184-63-9	0000050232	2020/01/29	時間はどこから来て、なぜ流れるのか？ 最新物理学が解く時空・宇宙・意識の「謎」		ブルーバックス Ｂ−２１２４	吉田 伸夫／著	421	ﾖ		講談社	2020	233p	18cm	2020
978-4-562056-62-0	0000050233	2020/02/03	天声人語 ２０１９夏			朝日新聞論説委員室／編 国際発信部／訳	837	ﾃ	2019-夏	原書房	2019	255p	21cm	2020
978-4-385106-18-2	0000050234	2020/02/03	ビーコン英和辞典 第３版			宮井 捷二／監修 三省堂編修所／編	833.3	ｻ		三省堂	2017	1682p	19cm	2020
	0000050235	2020/02/10	岐阜県方言辞典			山田敏弘	818.53	ﾔ			2017	458p	30cm	2020
978-4-005009-12-1	0000050236	2020/04/15	新・大学でなにを学ぶか		岩波ジュニア新書 ９１２	上田 紀行／編著	377	ｳ		岩波書店	2020	195p	18cm	2020
978-4-005009-13-8	0000050237	2020/04/15	統計学をめぐる散歩道 ツキは続く？続かない？		岩波ジュニア新書 ９１３	石黒 真木夫／著	417	ｲ		岩波書店	2020	199p	18cm	2020
978-4-004318-13-2	0000050238	2020/04/15	大岡信『折々のうた』選 短歌１		岩波新書　新赤版 １８１３	大岡 信／著 水原 紫苑／編	911.04	ｵ		岩波書店	2020	194p	18cm	2020
978-4-004318-24-8	0000050239	2020/04/15	アメリカの制裁外交		岩波新書　新赤版 １８２４	杉田 弘毅／著	319.53	ｽ		岩波書店	2020	236p	18cm	2020
978-4-004318-25-5	0000050240	2020/04/15	客室乗務員の誕生 「おもてなし」化する日本社会		岩波新書　新赤版 １８２５	山口 誠／著	687.38	ﾔ		岩波書店	2020	229 11p	18cm	2020
978-4-004318-26-2	0000050241	2020/04/15	小学校英語のジレンマ		岩波新書　新赤版 １８２６	寺沢 拓敬／著	375.893	ﾃ		岩波書店	2020	235 6p	18cm	2020
978-4-004318-27-9	0000050242	2020/04/15	律令国家と隋唐文明		岩波新書　新赤版 １８２７	大津 透／著	210.3	ｵ		岩波書店	2020	208 8p	18cm	2020
978-4-004318-28-6	0000050243	2020/04/15	人生の１冊の絵本		岩波新書　新赤版 １８２８	柳田 邦男／著	019.53	ﾔ		岩波書店	2020	338 3p	18cm	2020
978-4-002710-18-1	0000050244	2020/04/15	ボランティアってなんだっけ？		岩波ブックレット Ｎｏ．１０１８	猪瀬 浩平／著	369.7	ｲ		岩波書店	2020	71p	21cm	2020
978-4-002710-19-8	0000050245	2020/04/15	インディオの村通い４０年 〈いのち〉みつめて		岩波ブックレット Ｎｏ．１０１９	清水 透／著	295.6	ｼ		岩波書店	2020	54p	21cm	2020
978-4-004318-06-4	0000050246	2020/04/15	草原の制覇 大モンゴルまで		岩波新書　新赤版 １８０６ シリーズ中国の歴史 ３	古松 崇志／著	222.05	ﾌ		岩波書店	2020	226 15p	18cm	2020
978-4-004318-14-9	0000050247	2020/04/15	大岡信『折々のうた』選 短歌２		岩波新書　新赤版 １８１４	大岡 信／著 水原 紫苑／編	911.04	ｵ		岩波書店	2020	191p	18cm	2020
978-4-004318-29-3	0000050248	2020/04/15	教育は何を評価してきたのか		岩波新書　新赤版 １８２９	本田 由紀／著	372.106	ﾎ		岩波書店	2020	253p	18cm	2020
978-4-005009-14-5	0000050249	2020/04/15	読解力を身につける		岩波ジュニア新書 ９１４	村上 慎一／著	817.5	ﾑ		岩波書店	2020	211p	18cm	2020
978-4-005009-15-2	0000050250	2020/04/15	きみのまちに未来はあるか？ 「根っこ」から地域をつくる		岩波ジュニア新書 ９１５	除本 理史／著 佐無田 光／著	318.6	ﾖ		岩波書店	2020	200p	18cm	2020
978-4-002710-20-4	0000050251	2020/04/15	迷走する教員の働き方改革 変形労働時間制を考える		岩波ブックレット Ｎｏ．１０２０	内田 良／著 広田 照幸／著 高橋 哲／著 嶋崎 量／著 斉藤 ひでみ／著	374.37	ｳ		岩波書店	2020	79p	21cm	2020
978-4-002710-21-1	0000050252	2020/04/15	３．１１を心に刻んで ２０２０		岩波ブックレット Ｎｏ．１０２１	岩波書店編集部／編	369.31	ｲ	2020	岩波書店	2020	87p	21cm	2020
978-4-002710-22-8	0000050253	2020/04/15	沖縄を世界軍縮の拠点に 辺野古を止める構想力		岩波ブックレット Ｎｏ．１０２２	豊下 楢彦／著 北上田 毅／著 吉川 秀樹／著 大城 尚子／著 豊田 祐基子／著 沖縄対外問題研究会／著	395.39	ﾄ		岩波書店	2020	79p	21cm	2020
978-4-005009-16-9	0000050254	2020/04/28	博士の愛したジミな昆虫		岩波ジュニア新書 ９１６	金子 修治／編著 鈴木 紀之／編著 安田 弘法／編著	486.1	ﾊ		岩波書店	2020	250 3p	18cm	2020
978-4-005009-17-6	0000050255	2020/04/28	有権者って誰？		岩波ジュニア新書 ９１７	薮野 祐三／著	314.8	ﾔ		岩波書店	2020	150p	18cm	2020
978-4-004318-15-6	0000050256	2020/04/28	大岡信『折々のうた』選 詩と歌謡		岩波新書　新赤版 １８１５	大岡 信／著 蜂飼 耳／編	911.04	ｵ		岩波書店	2020	209p	18cm	2020
978-4-004318-30-9	0000050257	2020/04/28	世界経済図説 第４版		岩波新書　新赤版 １８３０	宮崎 勇／著 田谷 禎三／著	333.6	ﾐ		岩波書店	2020	207 9p	18cm	2020
978-4-004318-31-6	0000050258	2020/04/28	５Ｇ 次世代移動通信規格の可能性		岩波新書　新赤版 １８３１	森川 博之／著	547.5	ﾓ		岩波書店	2020	249p	18cm	2020
978-4-004318-32-3	0000050259	2020/04/28	「勤労青年」の教養文化史		岩波新書　新赤版 １８３２	福間 良明／著	367.68	ﾌ		岩波書店	2020	296p	18cm	2020
978-4-002710-23-5	0000050260	2020/04/28	ひきこもりのライフプラン 「親亡き後」をどうするか 新版		岩波ブックレット Ｎｏ．１０２３	斎藤 環／著 畠中 雅子／著	367.68	ｻ		岩波書店	2020	111p	21cm	2020
